Satis_ID,Tarih,Nokta_ID,Urun_ID,Miktar_Adet,Toplam_Litre
1,2024-01-04 09:00:00,5001,1008,1,0.5
2,2024-01-10 14:00:00,5001,1003,9,4.5
3,2024-01-10 11:00:00,5001,1003,1,0.5
4,2024-01-13 20:00:00,5001,1013,1,0.7
5,2024-01-13 12:00:00,5001,1001,19,3.8000000000000003
6,2024-01-15 10:00:00,5001,1001,19,3.8000000000000003
7,2024-01-15 20:00:00,5001,1012,1,0.7
8,2024-01-24 19:00:00,5001,1004,9,6.3
9,2024-01-26 19:00:00,5001,1005,1,1.0
10,2024-01-27 09:00:00,5001,1017,1,0.7
11,2024-01-27 10:00:00,5001,1011,1,0.7
12,2024-02-01 15:00:00,5001,1001,4,0.8
13,2024-02-05 21:00:00,5001,1003,1,0.5
14,2024-02-07 11:00:00,5001,1007,9,3.15
15,2024-02-07 16:00:00,5001,1017,1,0.7
16,2024-02-11 19:00:00,5001,1005,1,1.0
17,2024-02-18 09:00:00,5001,1003,1,0.5
18,2024-02-21 15:00:00,5001,1009,1,0.7
19,2024-02-21 18:00:00,5001,1008,9,4.5
20,2024-02-26 16:00:00,5001,1015,19,13.299999999999999
21,2024-02-26 18:00:00,5001,1005,1,1.0
22,2024-02-27 14:00:00,5001,1005,4,4.0
23,2024-02-29 09:00:00,5001,1004,1,0.7
24,2024-03-01 18:00:00,5001,1006,1,0.2
25,2024-03-01 16:00:00,5001,1017,4,2.8
26,2024-03-03 20:00:00,5001,1001,1,0.2
27,2024-03-05 14:00:00,5001,1007,19,6.6499999999999995
28,2024-03-06 17:00:00,5001,1007,1,0.35
29,2024-03-06 10:00:00,5001,1002,4,1.4
30,2024-03-12 18:00:00,5001,1004,1,0.7
31,2024-03-17 10:00:00,5001,1004,1,0.7
32,2024-03-24 13:00:00,5001,1005,4,4.0
33,2024-03-24 13:00:00,5001,1013,1,0.7
34,2024-03-26 17:00:00,5001,1004,1,0.7
35,2024-03-27 18:00:00,5001,1008,1,0.5
36,2024-03-27 21:00:00,5001,1012,1,0.7
37,2024-04-01 18:00:00,5001,1006,1,0.2
38,2024-04-05 18:00:00,5001,1008,1,0.5
39,2024-04-05 13:00:00,5001,1007,9,3.15
40,2024-04-12 17:00:00,5001,1010,4,4.0
41,2024-04-16 11:00:00,5001,1005,1,1.0
42,2024-04-16 12:00:00,5001,1009,1,0.7
43,2024-04-19 13:00:00,5001,1014,1,0.35
44,2024-04-27 16:00:00,5001,1018,1,0.7
45,2024-04-27 19:00:00,5001,1007,1,0.35
46,2024-04-28 12:00:00,5001,1009,4,2.8
47,2024-05-06 21:00:00,5001,1012,4,2.8
48,2024-05-06 19:00:00,5001,1005,1,1.0
49,2024-05-11 12:00:00,5001,1013,1,0.7
50,2024-05-11 15:00:00,5001,1005,4,4.0
51,2024-05-12 20:00:00,5001,1004,1,0.7
52,2024-05-12 09:00:00,5001,1008,4,2.0
53,2024-05-19 13:00:00,5001,1011,4,2.8
54,2024-05-26 12:00:00,5001,1003,4,2.0
55,2024-05-26 20:00:00,5001,1005,4,4.0
56,2024-06-01 16:00:00,5001,1010,4,4.0
57,2024-06-29 15:00:00,5001,1008,9,4.5
58,2024-06-29 13:00:00,5001,1002,4,1.4
59,2024-07-08 12:00:00,5001,1005,1,1.0
60,2024-07-08 10:00:00,5001,1007,1,0.35
61,2024-07-09 19:00:00,5001,1017,1,0.7
62,2024-07-18 19:00:00,5001,1009,4,2.8
63,2024-07-18 19:00:00,5001,1010,1,1.0
64,2024-07-21 21:00:00,5001,1011,1,0.7
65,2024-07-21 19:00:00,5001,1015,4,2.8
66,2024-07-23 17:00:00,5001,1005,1,1.0
67,2024-07-24 20:00:00,5001,1018,1,0.7
68,2024-07-24 09:00:00,5001,1011,4,2.8
69,2024-08-03 17:00:00,5001,1007,4,1.4
70,2024-08-04 11:00:00,5001,1012,1,0.7
71,2024-08-04 20:00:00,5001,1001,1,0.2
72,2024-08-11 18:00:00,5001,1002,1,0.35
73,2024-08-23 17:00:00,5001,1001,1,0.2
74,2024-08-23 15:00:00,5001,1003,1,0.5
75,2024-08-29 17:00:00,5001,1012,4,2.8
76,2024-08-30 14:00:00,5001,1005,1,1.0
77,2024-08-31 20:00:00,5001,1008,1,0.5
78,2024-09-02 19:00:00,5001,1005,4,4.0
79,2024-09-02 09:00:00,5001,1015,19,13.299999999999999
80,2024-09-20 12:00:00,5001,1008,1,0.5
81,2024-09-22 11:00:00,5001,1014,9,3.15
82,2024-09-26 16:00:00,5001,1004,1,0.7
83,2024-09-26 11:00:00,5001,1008,4,2.0
84,2024-09-29 21:00:00,5001,1004,1,0.7
85,2024-10-06 19:00:00,5001,1006,4,0.8
86,2024-10-06 12:00:00,5001,1003,1,0.5
87,2024-10-11 17:00:00,5001,1001,19,3.8000000000000003
88,2024-10-14 17:00:00,5001,1017,1,0.7
89,2024-10-14 09:00:00,5001,1010,1,1.0
90,2024-10-22 12:00:00,5001,1005,1,1.0
91,2024-10-22 13:00:00,5001,1014,4,1.4
92,2024-10-26 21:00:00,5001,1003,4,2.0
93,2024-10-30 20:00:00,5001,1011,9,6.3
94,2024-11-04 19:00:00,5001,1006,4,0.8
95,2024-11-04 19:00:00,5001,1007,1,0.35
96,2024-11-05 14:00:00,5001,1006,1,0.2
97,2024-11-05 20:00:00,5001,1001,1,0.2
98,2024-11-06 15:00:00,5001,1001,1,0.2
99,2024-11-10 21:00:00,5001,1012,1,0.7
100,2024-11-10 14:00:00,5001,1013,4,2.8
101,2024-11-11 10:00:00,5001,1005,1,1.0
102,2024-11-13 17:00:00,5001,1006,1,0.2
103,2024-11-13 17:00:00,5001,1002,4,1.4
104,2024-11-14 15:00:00,5001,1005,1,1.0
105,2024-11-14 17:00:00,5001,1010,1,1.0
106,2024-11-15 09:00:00,5001,1001,1,0.2
107,2024-11-15 19:00:00,5001,1004,4,2.8
108,2024-11-16 13:00:00,5001,1011,1,0.7
